#F nifilm-tof-1.dat
#D 2011-01-20 19:33:56
#C Title: Simulated 100 A Ni film
#C Detector Angle: (0.3, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
4.407961417567833780e-03 3.882702766449441973e-05 9.473684210526315264e-01 1.799061815083602967e-01 1.492686886204714014e+01
4.496120645919190681e-03 3.960356821778431436e-05 1.229166666666666741e+00 2.389219433688503924e-01 1.463418515886974447e+01
4.586043058837575154e-03 4.039563958213999821e-05 1.285714285714285809e+00 2.448979591836734637e-01 1.434724035183308111e+01
4.677763920014326587e-03 4.120355237378279357e-05 7.358490566037735325e-01 1.552431380131154004e-01 1.406592191356184429e+01
4.771319198414613293e-03 4.202762342125846015e-05 1.076923076923076872e+00 2.073962386783654854e-01 1.379011952309984679e+01
4.866745582382905368e-03 4.286817588968361986e-05 1.177777777777777812e+00 2.387438549112574082e-01 1.351972502264690945e+01
4.964080494030563909e-03 4.372553940747730175e-05 9.523809523809523281e-01 2.104083575448897070e-01 1.325463237514402870e+01
5.063362103911174875e-03 4.460005019562683653e-05 1.371428571428571441e+00 3.048299243821607218e-01 1.299473762269022359e+01
5.164629345989399899e-03 4.549205119953939047e-05 1.230769230769230838e+00 2.653281533854081053e-01 1.273993884577472713e+01
5.267921932909187463e-03 4.640189222353018398e-05 1.612903225806451513e+00 3.687100461295853004e-01 1.249013612330855594e+01
5.373280371567370865e-03 4.732993006800077844e-05 1.294117647058823595e+00 2.954984886737448968e-01 1.224523149343976058e+01
5.480745978998718439e-03 4.827652866936080119e-05 1.199999999999999956e+00 2.297825058615211580e-01 1.200512891513702129e+01
5.590360898578692304e-03 4.924205924274800976e-05 7.592592592592593004e-01 1.112110889933834029e-01 1.176973423052649181e+01
5.702168116550265613e-03 5.022690042760295884e-05 9.775280898876403946e-01 1.473774202670587175e-01 1.153895512796714939e+01
5.816211478881272261e-03 5.123143843615503469e-05 8.390804597701149170e-01 1.331810830919386290e-01 1.131270110585014521e+01
5.932535708458897515e-03 5.225606720487813281e-05 1.027027027027026973e+00 1.677277210110304229e-01 1.109088343710798519e+01
6.051186422628075830e-03 5.330118854897570495e-05 1.276923076923076827e+00 2.114948852373640109e-01 1.087341513441959329e+01
6.172210151080637607e-03 5.436721231995521309e-05 7.964601769911504592e-01 1.125256702482304583e-01 1.066021091609763971e+01
6.295654354102249613e-03 5.545455656635431843e-05 1.080000000000000071e+00 1.498799519615615639e-01 1.045118717264474562e+01
6.421567441184296114e-03 5.656364769768141144e-05 1.126315789473684159e+00 1.587750161670814508e-01 1.024626193396543528e+01
6.549998790007981360e-03 5.769492065163504021e-05 1.009803921568627416e+00 1.410572085855977820e-01 1.004535483722101574e+01
6.680998765808141351e-03 5.884881906466774346e-05 1.000000000000000000e+00 1.393466028583235372e-01 9.848387095314720341e+00
6.814618741124303138e-03 6.002579544596108166e-05 9.306930693069307425e-01 1.333825978586176964e-01 9.655281465994825396e+00
6.950911115946789218e-03 6.122631135488031345e-05 1.121495327102803641e+00 1.491172497282149123e-01 9.465962221563554380e+00
7.089929338265725349e-03 6.245083758197790969e-05 1.000000000000000000e+00 1.235604126430430993e-01 9.280355119179954926e+00
7.231727925031041643e-03 6.369985433361749635e-05 1.134020618556700999e+00 1.579515579487500987e-01 9.098387371745051411e+00
7.376362483531662649e-03 6.497385142028983787e-05 9.200000000000000400e-01 1.188747239744429446e-01 8.919987619357893749e+00
7.523889733202295503e-03 6.627332844869563029e-05 8.571428571428570953e-01 1.066314324703112743e-01 8.745085901331268730e+00
7.674367527866341430e-03 6.759879501766954805e-05 1.007575757575757569e+00 1.237906549328866984e-01 8.573613628756145744e+00
7.827854878423669283e-03 6.895077091802293630e-05 1.037037037037036979e+00 1.057220788367500414e-01 8.405503557604063758e+00
7.984411975992141558e-03 7.032978633638338744e-05 9.499999999999999556e-01 9.624188277460078711e-02 8.240689762356925741e+00
8.144100215511982863e-03 7.173638206311105329e-05 9.292035398230088505e-01 8.906154673745693418e-02 8.079107610153849706e+00
8.306982219822223873e-03 7.317110970437329279e-05 8.937198067632849963e-01 9.042184817222340132e-02 7.920693735444949368e+00
8.473121864218668975e-03 7.463453189846075918e-05 8.957345971563981379e-01 8.970924772027197291e-02 7.765386015142107468e+00
8.642584301503041314e-03 7.612722253642996895e-05 8.894472361809044880e-01 9.189691685410464328e-02 7.613123544256968245e+00
