#F nifilm-tof-4.dat
#D 2011-01-20 19:33:56
#C Title: Simulated 100 A Ni film
#C Detector Angle: (3, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
4.405967712879876874e-02 3.880635615199675825e-04 1.265923348765854786e-02 1.325122693211212800e-04 1.492686886204714014e+01
4.494087067137474828e-02 3.958248327503670057e-04 1.179499586741607903e-02 1.291895121658275295e-04 1.463418515886974447e+01
4.583968808480225199e-02 4.037413294053742840e-04 1.019152422251660972e-02 1.211655366415807648e-04 1.434724035183308111e+01
4.675648184649829064e-02 4.118161559934818195e-04 9.041346431078118098e-03 1.152595079765877706e-04 1.406592191356184429e+01
4.769161148342826451e-02 4.200524791133513920e-04 7.435252822312873877e-03 1.053720789376034903e-04 1.379011952309984679e+01
4.864544371309682119e-02 4.284535286956184523e-04 6.331427682495236256e-03 9.955772502489314529e-05 1.351972502264690945e+01
4.961835258735876331e-02 4.370225992695307726e-04 5.348630820044099517e-03 9.919426418875129203e-05 1.325463237514402870e+01
5.061071963910594024e-02 4.457630512549214303e-04 4.343255350177296741e-03 9.025091046259767344e-05 1.299473762269022359e+01
5.162293403188806390e-02 4.546783122800200118e-04 3.822928802002795081e-03 8.553967129185617710e-05 1.273993884577472713e+01
5.265539271252582532e-02 4.637718785256203903e-04 3.064112459944331231e-03 7.740032357534316649e-05 1.249013612330855594e+01
5.370850056677634043e-02 4.730473160961326529e-04 2.560428693448116647e-03 7.132416698246876968e-05 1.224523149343976058e+01
5.478267057811186252e-02 4.825082624180554208e-04 1.962998192958984381e-03 5.034957278850873036e-05 1.200512891513702129e+01
5.587832398967410019e-02 4.921584276664165217e-04 1.496397092875252416e-03 3.752007203608678521e-05 1.176973423052649181e+01
5.699589046946758331e-02 5.020015962197447654e-04 1.161254499502182690e-03 3.336176556621751074e-05 1.153895512796714939e+01
5.813580827885694163e-02 5.120416281441398645e-04 8.482799148010690578e-04 2.878812762956913402e-05 1.131270110585014521e+01
5.929852444443407811e-02 5.222824607070225512e-04 5.776144523119516221e-04 2.399106047279475187e-05 1.109088343710798519e+01
6.048449493332275911e-02 5.327281099211630998e-04 3.863995493361045436e-04 1.982570785633681618e-05 1.087341513441959329e+01
6.169418483198921971e-02 5.433826721195863553e-04 2.687001021874631072e-04 1.479344090880797907e-05 1.066021091609763971e+01
6.292806852862900535e-02 5.542503255619780390e-04 1.326045545939655930e-04 9.939790542549104246e-06 1.045118717264474562e+01
6.418662989920158324e-02 5.653353320732176996e-04 8.359037373256096213e-05 7.970362519413385160e-06 1.024626193396543528e+01
6.547036249718561629e-02 5.766420387146819993e-04 4.738743735730361088e-05 6.067483383379928478e-06 1.004535483722101574e+01
6.677976974712933333e-02 5.881748794889756892e-04 3.484047417885357683e-05 5.252490604937297343e-06 9.848387095314720341e+00
6.811536514207190696e-02 5.999383770787549948e-04 5.008902920998290354e-05 6.361472384987248008e-06 9.655281465994825396e+00
6.947767244491334648e-02 6.119371446203301489e-04 8.222162839935044296e-05 7.267732639155301182e-06 9.465962221563554380e+00
7.086722589381161397e-02 6.241758875127367302e-04 1.103988013115122298e-04 8.393928737694299951e-06 9.280355119179954926e+00
7.228457041168787067e-02 6.366594052629918161e-04 1.811233032720771768e-04 1.086403757503981660e-05 9.098387371745051411e+00
7.373026181992162198e-02 6.493925933682516069e-04 2.342674165878585817e-04 1.247025689231059488e-05 8.919987619357893749e+00
7.520486705632005442e-02 6.623804452356164526e-04 2.672588870363160171e-04 1.346610732194189248e-05 8.745085901331268730e+00
7.670896439744645523e-02 6.756280541403288879e-04 3.412445894772326389e-04 1.535593932577805656e-05 8.573613628756145744e+00
7.824314368539539433e-02 6.891406152231356521e-04 3.902123837372370517e-04 1.223841817536015923e-05 8.405503557604063758e+00
7.980800655910329222e-02 7.029234275275982220e-04 4.504152034011992749e-04 1.324476162081570789e-05 8.240689762356925741e+00
8.140416669028535668e-02 7.169818960781501561e-04 4.684147274984432193e-04 1.363349752625231642e-05 8.079107610153849706e+00
8.303225002409107824e-02 7.313215339997131007e-04 4.888621712695783361e-04 1.408052693113466011e-05 7.920693735444949368e+00
8.469289502457288954e-02 7.459479646797075947e-04 5.138555414330053285e-04 1.456107962758640527e-05 7.765386015142107468e+00
8.638675292506435566e-02 7.608669239733016404e-04 5.217526681968606911e-04 1.482064496584366555e-05 7.613123544256968245e+00
8.811448798356563694e-02 7.760842624527676537e-04 5.091335515413326169e-04 1.187225825015322041e-05 7.463846612016634907e+00
8.987677774323694913e-02 7.916059477018230718e-04 4.967865619658626622e-04 1.184799245683455409e-05 7.317496678447681369e+00
9.167431329810168950e-02 8.074380666558592752e-04 5.047017100481469929e-04 1.206427616469939191e-05 7.174016351419295390e+00
9.350779956406372884e-02 8.235868279889764932e-04 4.664728859328296493e-04 1.171221972909215058e-05 7.033349364136563864e+00
9.537795555534502034e-02 8.400585645487563483e-04 4.524179191052791235e-04 1.164526949179301479e-05 6.895440553075061985e+00
9.728551466645191104e-02 8.568597358397315577e-04 4.047037856468231696e-04 1.007253687638698316e-05 6.760235836348099880e+00
9.923122495978095592e-02 8.739969305565259720e-04 3.765864119615932996e-04 8.598227217451674445e-06 6.627682192498137503e+00
1.012158494589765756e-01 8.914768691676566714e-04 3.335904801641737579e-04 8.171810268744496885e-06 6.497727639704056202e+00
1.032401664481561038e-01 9.093064065510097875e-04 2.981479295668400774e-04 7.804051061054281883e-06 6.370321215396133496e+00
1.053049697771192145e-01 9.274925346820298011e-04 2.405823467547732594e-04 7.079865386491618961e-06 6.245412956270719462e+00
1.074110691726616051e-01 9.460423853756705229e-04 1.920432896165762224e-04 6.387878087741703651e-06 6.122953878696783647e+00
1.095592905561148384e-01 9.649632330831839355e-04 1.623599387267709530e-04 5.287596245379769582e-06 6.002895959506650669e+00
1.117504763672371310e-01 9.842624977448473627e-04 1.151434374809221265e-04 3.565513113980858673e-06 5.885192117163382974e+00
1.139854858945818922e-01 1.003947747699744826e-03 8.434776821323385445e-05 3.082130351154776406e-06 5.769796193297433540e+00
1.162651956124735320e-01 1.024026702653739592e-03 5.502962121583755077e-05 2.514436752410037564e-06 5.656662934605327209e+00
1.185904995247230032e-01 1.044507236706814380e-03 3.713395235749054939e-05 2.085689276125556810e-06 5.545747975103261673e+00
1.209623095152174699e-01 1.065397381440950702e-03 2.115840219875246878e-05 1.590379721837776013e-06 5.437007818728687880e+00
1.233815557055218115e-01 1.086705329069769790e-03 9.736148759341070732e-06 8.851087414110944724e-07 5.330399822283027333e+00
1.258491868196322527e-01 1.108439435651165008e-03 3.648250570783692589e-06 5.211796036633909118e-07 5.225882178708850745e+00
1.283661705560248945e-01 1.130608224364188430e-03 2.961816489647502217e-06 4.742709087468573080e-07 5.123413900694950840e+00
1.309334939671454034e-01 1.153220388851472229e-03 4.493679678271129355e-06 5.900503747122285533e-07 5.022954804602893120e+00
1.335521638464883254e-01 1.176284796628501760e-03 1.058982981195149292e-05 9.148268045741206724e-07 4.924465494708718083e+00
1.362232071234180664e-01 1.199810492561071513e-03 1.622348511705545089e-05 1.103877298326810458e-06 4.827907347753646050e+00
1.389476712658864466e-01 1.223806702412293286e-03 2.369163502997214670e-05 1.149226715313457853e-06 4.733242497797691684e+00
1.417266246912042005e-01 1.248282836460539152e-03 3.035731929180353491e-05 1.313709625138651133e-06 4.640433821370285372e+00
1.445611571850282662e-01 1.273248493189749718e-03 3.547852001701577783e-05 1.434159611535136455e-06 4.549444922912044831e+00
1.474523803287288437e-01 1.298713463053545111e-03 3.892363029933691352e-05 1.517430622584212371e-06 4.460240120502004579e+00
1.504014279353034222e-01 1.324687732314615805e-03 4.643944269532595436e-05 1.673600206013898603e-06 4.372784431864710442e+00
1.534094564940094718e-01 1.351181486960908139e-03 4.341516609751981562e-05 1.554546054405144210e-06 4.287043560651676799e+00
1.564776456238896885e-01 1.378205116700126310e-03 4.057227009958580836e-05 1.198521444923437978e-06 4.202983882991839337e+00
1.596071985363674839e-01 1.405769219034129231e-03 3.585197747484882377e-05 1.137748510621989980e-06 4.120572434305724840e+00
